[-3.68896373,-5.50358255];[0.01608273,0.01626958,0.99556587,-0.09124275];[[7.80000043, -5.59999958], [6.2000004, -5.29999958], [-3.59999974, -0.79999951], [-5.31393433, -6.48230743], [-7.1999998, -5.39999958], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.894189387247188], [18.27678288659861], [19.084731825787163], [19.51150728473409], [19.084731825787138], [0], [0], [0], [0], [0]];[-5.31393433,-6.48230743]
[-5.10891697,-6.36539264];[0.01781197,0.01412434,0.97155304,-0.23572849];[[7.80000043, -5.59999958], [6.2000004, -5.29999958], [-3.59999974, -0.79999951], [-7.0999998, -5.29999958], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.422500436714827], [18.16280590813197], [18.5531751938948], [18.957898532460845], [0], [0], [0], [0], [0], [0]];[-7.0999998,-5.29999958]
[-7.33302881,-5.19662733];[0.0139987,0.01726231,0.99120465,-0.13045844];[[7.80000043, -5.59999958], [6.2000004, -5.29999958], [-5.09999977, -0.3999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.10555287115354], [16.414297089337406], [17.75697331683233], [0], [0], [0], [0], [0], [0], [0]];[-5.09999977,-0.3999995]
[-5.20098258,-0.53101319];[-0.00760868,0.01951958,0.42995809,0.90260575];[[6.80094299, -5.40395987], [-6.14999978, 2.25000054], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[6.80094299,-5.40395987]
[0.1810088,0.23437485];[-1.60955594e-03,4.19387610e-04,2.95634505e-01,9.55299679e-01];[[0.23728447, -0.07924912], [4.00000006, -0.29999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2380265.3399837934], [571.1992108688564], [0], [0], [0], [0], [0], [0], [0], [0]];[0.23728447,-0.07924912]
[0.22910219,-0.33060853];[3.56404697e-04,7.65546024e-05,-5.78411297e-01,8.15745200e-01];[[0.93668812, -0.57258395], [4.06535816, -0.29297003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[0.93668812,-0.57258395]
[0.69639028,-0.46227];[1.02875500e-04,-2.38493986e-04,-2.20459659e-01,9.75396062e-01];[[4.50460057, -0.64477015], [0.40000001, -0.80000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[489.92699875055257], [123994.84101389335], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.80000001]
[0.24736608,-0.90326637];[-5.35595234e-04,-7.51611357e-04,-8.59288473e-01,5.11490407e-01];[[3.96968659, -0.77240684], [5.80394363, -0.70434338], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[492.4899446384344], [467.59487445372116], [0], [0], [0], [0], [0], [0], [0], [0]];[3.96968659,-0.77240684]
[3.92455303,-0.74668235];[0.0048438,0.00367703,-0.10409285,0.99454899];[[-2.53629331, -3.48671864], [1.04999989, -3.39999976], [-1.70419714, -0.85120621], [6.19999997, -1.89999973], [5.69999996, 1.90000032], [4.29999994, -1.39999973], [-0.30000013, 1.80000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.900464343526879], [4.104130429827725], [32.260439905776096], [4.335794267697145], [4.104130429827729], [4.335794267697146], [979.3850729813907], [0], [0], [0]];[-0.30000013,1.80000032]
[-0.45010652,1.84851648];[-0.00093447,0.00164611,0.93294727,0.36000808];[[1.05, -3.39999976], [4.90000006, -2.29999974], [4.80000005, 1.90000032], [-1.80000004, 1.80000032], [-3.20000007, -3.69999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.154198908240616], [3.9918656039511995], [4.154198908240616], [40.40987943035008], [3.9918656039511995], [0], [0], [0], [0], [0]];[-1.80000004,1.80000032]
[-2.01128049,1.8466561];[-0.00451861,-0.00383984,0.99149279,-0.13002652];[[5.92962817, 1.98706046], [4.89999995, -2.29999974], [1.6999999, 5.60000038], [-3.20000017, -3.69999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[118.40477372466374], [9.203109873218512], [9.167900080964138], [9.17467233598715], [0], [0], [0], [0], [0], [0]];[5.92962817,1.98706046]
[5.68709963,1.97798215];[-0.00338805,-0.00229788,0.01127982,0.99992801];[[1.20370609, -3.5973998], [-3.49971539, -4.10107682], [5.19999996, -2.39999974], [1.6999999, 5.60000038], [-1.8194443, -3.00051451], [-1.90000015, 1.90000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.7848286241590131], [0.7654395807598843], [0.8160475783251494], [0.7638872709333869], [0.7757369902170606], [4.287547684237542], [0], [0], [0], [0]];[-1.90000015,1.90000032]
[-1.63769649,1.89961478];[-0.00687883,0.00252153,0.99997105,-0.00205122];[[1.70000031, 5.60000038], [-1.74383402, -0.29075712], [-4.41747713, -4.63494921], [-5.09999979, 2.70000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.636979171086064], [39.31372098011692], [3.6675435903637585], [3.7159303216180506], [0], [0], [0], [0], [0], [0]];[-1.74383402,-0.29075712]
[-1.69665517,-0.49945446];[0.01010317,0.00895703,-0.79229455,0.60998937];[[5.44999542, -2.45468146], [-3.75143564, -4.25042703], [3.5935626, -1.61221611], [1.70000003, 5.60000038], [1.60771143, -3.05559325], [-0.3153629, 4.89361382], [-5.50000008, 2.40000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[41.377657738024304], [6.82999300763771], [56.20255790200524], [6.678270661869513], [8.581229054617298], [22.555907818194132], [6.678270661869511], [0], [0], [0]];[3.5935626,-1.61221611]
[3.82401502,-1.62390341];[0.00357352,0.00403513,-0.19381676,0.98102293];[[-4.14434098, -4.3299882], [1.50000022, 5.60000039], [-1.09999982, -3.69999975], [-5.39999988, 2.00000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.041855765703518], [10.041855765703513], [10.24815599690432], [10.041855765703508], [0], [0], [0], [0], [0], [0]];[-1.09999982,-3.69999975]
[-1.67241902,-3.84189051];[-0.00326056,0.01058747,-0.81515578,0.57913586];[[-3.93333348, -3.3666662], [0.54849546, -5.18314969], [-5.13810686, 1.34458733], [6.50000001, -7.29999959], [1.49999994, 5.6000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.089707238696754], [9.906921901024589], [9.73024408820755], [9.394130558186967], [9.39413055818696], [0], [0], [0], [0], [0]];[-3.93333348,-3.3666662]
[-3.69724813,-3.41519517];[0.00915559,-0.00283904,0.99552193,0.09404371];[[-3.90951914, -4.48502506], [6.79499388, 2.80998015], [6.50000031, -7.29999959], [1.50000024, 5.6000006], [0.50000022, -5.19999956], [-4.29999985, -1.2999995], [-5.39999987, 2.00000055], [-6.09999988, -2.49999952], [-7.3999999, -3.39999953], [0.0, 0.0]];[[10.174796829054372], [21.451194687499314], [9.486279248850442], [9.48627924885043], [9.819223495537646], [10.174796829054372], [9.819223495537658], [10.174796829054367], [9.994053463976332], [0]];[6.79499388,2.80998015]
[1.6248439,6.49424958];[0.02085247,0.01618574,-0.39467401,0.91844195];[[-3.89372758, -4.29790416], [6.50000041, -7.29999959], [2.80000035, 5.10000059], [0.50000032, -5.19999956], [-0.8999997, 5.5000006], [-5.39999977, 2.00000055], [-7.3999998, -3.39999953], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.348723742183846], [9.017920917040305], [9.017920917040316], [12.408444384919203], [10.023341058164883], [9.752740124882466], [9.49554947705919], [0], [0], [0]];[-3.89372758,-4.29790416]
[1.62688604,6.49722874];[0.02116584,0.01532018,-0.38844872,0.92109983];[[-3.94999975, -4.19999954], [-5.53335627, 2.55151895], [2.80000035, 5.10000059], [0.50000032, -5.19999956], [-0.8999997, 5.5000006], [-7.3999998, -3.39999953], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[-3.94999975,-4.19999954]
[1.67668991,6.67900989];[0.02536239,0.00535832,0.07057849,0.99716936];[[-4.17935225, -4.38443051], [6.89666367, 2.81222224], [6.50000041, -7.29999959], [2.80000035, 5.10000059], [0.50000032, -5.19999956], [-0.8999997, 5.5000006], [-5.39999977, 2.00000055], [-7.3999998, -3.39999953], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0]];[-4.17935225,-4.38443051]
